,0
4082,1282
4883,1283
1619,1284
2681,1285
1014,1286
2860,1287
1839,1288
2839,1289
1655,1290
2979,1291
1012,1292
1105,1293
5677,1294
1896,1295
4055,1296
1481,1297
4754,1298
4197,1299
1554,1300
3380,1301
2983,1302
2496,1303
5156,1304
4549,1305
1437,1306
4937,1307
2321,1308
3730,1309
2123,1310
2867,1311
2868,1312
229,1313
3011,1314
2322,1315
3297,1316
4391,1317
1230,1318
2323,1319
1933,1320
1614,1321
1712,1322
2319,1323
1350,1324
1727,1325
830,1326
1378,1327
4723,1328
1471,1329
708,1330
193,1331
1225,1332
2119,1333
3501,1334
2934,1335
369,1336
1080,1337
4497,1338
1359,1339
1975,1340
4950,1341
3536,1342
4428,1343
4057,1344
3636,1345
3233,1346
2274,1347
1806,1348
2564,1349
1766,1350
464,1351
2043,1352
4215,1353
5181,1354
3316,1355
5507,1356
3202,1357
2916,1358
5432,1359
3069,1360
3397,1361
1767,1362
3893,1363
4752,1364
4298,1365
4656,1366
1131,1367
5852,1368
3390,1369
2391,1370
557,1371
1870,1372
1869,1373
2679,1374
1166,1375
151,1376
3735,1377
2468,1378
4027,1379
1188,1380
5182,1381
3987,1382
2863,1383
3630,1384
2521,1385
3949,1386
4004,1387
3288,1388
3747,1389
3963,1390
2455,1391
4408,1392
4758,1393
832,1394
172,1395
5722,1396
2680,1397
1853,1398
4691,1399
2440,1400
4249,1401
2988,1402
2818,1403
5345,1404
4253,1405
2051,1406
233,1407
910,1408
3094,1409
4590,1410
780,1411
3101,1412
2793,1413
3817,1414
1984,1415
3604,1416
5669,1417
48,1418
2780,1419
4297,1420
4218,1421
1694,1422
5418,1423
4225,1424
527,1425
93,1426
2000,1427
3239,1428
4948,1429
5232,1430
3516,1431
2041,1432
4943,1433
907,1434
4851,1435
4854,1436
682,1437
342,1438
4584,1439
2113,1440
4311,1441
4945,1442
5237,1443
4944,1444
4946,1445
4947,1446
2963,1447
2500,1448
4009,1449
4384,1450
3899,1451
5382,1452
4142,1453
2009,1454
5727,1455
3146,1456
3507,1457
3788,1458
5271,1459
4551,1460
4596,1461
4575,1462
4565,1463
4558,1464
4574,1465
4566,1466
4557,1467
4598,1468
4597,1469
4568,1470
4555,1471
4572,1472
4599,1473
4560,1474
4564,1475
4563,1476
4576,1477
4553,1478
4567,1479
4569,1480
4562,1481
4570,1482
5043,1483
4276,1484
5774,1485
152,1486
906,1487
3675,1488
5511,1489
4129,1490
399,1491
3668,1492
1342,1493
2261,1494
4246,1495
5735,1496
1773,1497
